course_code,course_title,Semester,Term,Program,Pre-Req,Elective,college
SSC101,Introduction to Psychology,One,Fall 2023,BBA,,,CBM
ECO101,Principles of Micro Economics,One,Fall 2023,BBA,,,CBM
MTH102,Business Mathematics,One,Fall 2023,BBA,,,CBM
REL101,Islamic Studies,One,Fall 2023,BBA,,,CBM
COM107,Academic English,One,Fall 2023,BBA,,,CBM
MAN101,Principles of Management,One,Fall 2023,BBA,,,CBM
SSC301,History of Ideas,Two,Spring 2024,BBA,SSC101,,CBM
ECO102,Principles of Macro Economics,Two,Spring 2024,BBA,ECO101,,CBM
STA104,Quantitative Techniques in Business,Two,Spring 2024,BBA,,,CBM
LAN 10*,Foreign Language I,Two,Spring 2024,BBA,,,CBM
COM205,Persuasive & Analytical Writing for Business Communication,Two,Spring 2024,BBA,COM107,,CBM
ACC101,Introduction to Financial Accounting,Two,Spring 2024,BBA,,,CBM
ENT201,Entrepreneurial Society & Social Impact,Three,Fall 2024,BBA,,,CBM
MKT201,Marketing Management (Level 1),Three,Fall 2024,BBA,,,CBM
LAN 20**,Foreign Language II,Three,Fall 2024,BBA,,,CBM
PSC301,Pakistan Studies,Three,Fall 2024,BBA,SSC301,,CBM
COM202,Business & Professional Speech,Three,Fall 2024,BBA,COM205,,CBM
ACC201,Intermediate Financial Accounting,Three,Fall 2024,BBA,ACC101,,CBM
MAN302,Organizational Behavior,Four,Spring 2025,BBA,MAN101,,CBM
ENT202,Entrepreneurial Business Operations,Four,Spring 2025,BBA,ENT201,,CBM
SCM501,Supply Chain Management,Four,Spring 2025,BBA,,,CBM
MIS402,Computer Concepts & Applications,Four,Spring 2025,BBA,,,CBM
ISF101,Introduction to Islamic Banking & Finance,Four,Spring 2025,BBA,,,CBM
FIN201,Introduction to Business Finance,Four,Spring 2025,BBA,,,CBM
HRM301,Human Resource Management,Five,Fall 2025,BBA,MAN302,,CBM
MKT404,Methods in Business Research,Five,Fall 2025,BBA,MKT201,,CBM
SCM400,Introduction to ERP,Five,Fall 2025,BBA,MAN503,,CBM
BDS101,Introduction to Data Sciences,Five,Fall 2025,BBA,MIS402,,CBM
ISF201,Islamic Financial Accounting,Five,Fall 2025,BBA,ISF101,,CBM
FIN202,Financial Management,Five,Fall 2025,BBA,FIN201,,CBM
MAN309,Leadership Journey,Six,Spring 2026,BBA,HRM301 ,,CBM
,Major 1 (compulsory elective),Six,Spring 2026,BBA,,,CBM
,Major II (compulsory elctive),Six,Spring 2026,BBA,,,CBM
,Major III,Six,Spring 2026,BBA,,,CBM
,Major IV,Six,Spring 2026,BBA,,,CBM
,Major V,Six,Spring 2026,BBA,,,CBM
ECO402,Pakistan Economic Policy,Seven,Fall 2026,BBA,MKT404 ECO102 MAN309,,CBM
,Major VI,Seven,Fall 2026,BBA,,,CBM
,Major VII,Seven,Fall 2026,BBA,,,CBM
,Minor I (compulsory elective),Seven,Fall 2026,BBA,,,CBM
,Minor II (compulsory elective),Seven,Fall 2026,BBA,,,CBM
SSC401,Business Ethics,Seven,Fall 2026,BBA,HRM301,,CBM
,Major VIII,Eight,Spring 2027,BBA,,,CBM
,Major IX,Eight,Spring 2027,BBA,,,CBM
,Major X,Eight,Spring 2027,BBA,,,CBM
,Major XI (Capstone),Eight,Spring 2027,BBA,,,CBM
MAN405,Strategic Management,Eight,Spring 2027,BBA,HRM301,,CBM
LAW409,Corporate & Business Law,Eight,Spring 2027,BBA,,,CBM
SSC101,Introduction to Psychology,One,Fall 2023,BS (J) ECO & FIN,,,CBM
REL101,Islamic Studies,One,Fall 2023,BS (J) ECO & FIN,,,CBM
MTH102,Business Mathematics,One,Fall 2023,BS (J) ECO & FIN,,,CBM
SSC401,Business Ethics,One,Fall 2023,BS (J) ECO & FIN,,,CBM
COM107,Academic English,One,Fall 2023,BS (J) ECO & FIN,,,CBM
ECO101,Principles of Micro Economics,One,Fall 2023,BS (J) ECO & FIN,,,CBM
ECO102,Principles of Macro Economics,Two,Spring 2024,BS (J) ECO & FIN,,,CBM
LAN 10*,Foreign Language I,Two,Spring 2024,BS (J) ECO & FIN,,,CBM
STA203,Probability Theory & Statistics,Two,Spring 2024,BS (J) ECO & FIN,,,CBM
LAW409,Corporate & Business Law,Two,Spring 2024,BS (J) ECO & FIN,,,CBM
COM205,Persuasive & Analytical Writing for Business Communication,Two,Spring 2024,BS (J) ECO & FIN,COM107,,CBM
ACC101,Introduction to Financial Accounting,Two,Spring 2024,BS (J) ECO & FIN,,,CBM
SSC301,History of Ideas,Three,Fall 2024,BS (J) ECO & FIN,,,CBM
STA301,Model & Inferences,Three,Fall 2024,BS (J) ECO & FIN,,,CBM
LAN 20**,Foreign Language II,Three,Fall 2024,BS (J) ECO & FIN,,,CBM
PSC301,Pakistan Studies,Three,Fall 2024,BS (J) ECO & FIN,,,CBM
COM202,Business & Professional Speech,Three,Fall 2024,BS (J) ECO & FIN,COM205,,CBM
ACC201,Intermediate Financial Accounting,Three,Fall 2024,BS (J) ECO & FIN,ACC101,,CBM
MIS402,Computer Concepts and Application,Four,Spring 2025,BS (J) ECO & FIN,,,CBM
ECO316,Macroeconomic Analysis,Four,Spring 2025,BS (J) ECO & FIN,,,CBM
MAN306,Introduction to Management & Organizational Behavior,Four,Spring 2025,BS (J) ECO & FIN,,,CBM
ECO301,Managerial Economics,Four,Spring 2025,BS (J) ECO & FIN,,,CBM
ECO304,Introduction to Econometrics,Four,Spring 2025,BS (J) ECO & FIN,,,CBM
FIN201,Introduction to Business Finance,Four,Spring 2025,BS (J) ECO & FIN,ACC201,,CBM
ECO303,Financial Economics,Five,Fall 2025,BS (J) ECO & FIN,,,CBM
FIN301,Financial Institutions,Five,Fall 2025,BS (J) ECO & FIN,ACC201,,CBM
,Economics Elective I,Five,Fall 2025,BS (J) ECO & FIN,,,CBM
,Economics Elective II,Five,Fall 2025,BS (J) ECO & FIN,,,CBM
MKT201,Marketing Management (Level 1),Five,Fall 2025,BS (J) ECO & FIN,,,CBM
FIN202,Financial Management,Five,Fall 2025,BS (J) ECO & FIN,FIN201,,CBM
MAN309,Leadership Journey,Six,Spring 2026,BS (J) ECO & FIN,,,CBM
,Economics Elective III,Six,Spring 2026,BS (J) ECO & FIN,,,CBM
,Economics Elective IV,Six,Spring 2026,BS (J) ECO & FIN,,,CBM
,Economics Elective V,Six,Spring 2026,BS (J) ECO & FIN,,,CBM
ISF101,Introduction to Islamic Banking and Finance,Six,Spring 2026,BS (J) ECO & FIN,,,CBM
FIN503,Corporate Finance,Six,Spring 2026,BS (J) ECO & FIN,FIN202,,CBM
ECO402,Pakistan Economic Policy,Seven,Fall 2026,BS (J) ECO & FIN,,,CBM
FIN613,Financial Modeling for Decision Making,Seven,Fall 2026,BS (J) ECO & FIN,FIN202,,CBM
FIN***,Finance Elective I,Seven,Fall 2026,BS (J) ECO & FIN,,,CBM
,Economics Elective VI,Seven,Fall 2026,BS (J) ECO & FIN,,,CBM
,Business Research Project (Economics),Seven,Fall 2026,BS (J) ECO & FIN,,,CBM
FIN***,Finance Elective II,Seven,Fall 2026,BS (J) ECO & FIN,,,CBM
,Finance Elective III,Eight,Spring 2027,BS (J) ECO & FIN,,,CBM
,Finance Elective IV,Eight,Spring 2027,BS (J) ECO & FIN,,,CBM
,Finance Elective V,Eight,Spring 2027,BS (J) ECO & FIN,,,CBM
,Finance Elective VI,Eight,Spring 2027,BS (J) ECO & FIN,,,CBM
MAN405,Strategic Management,Eight,Spring 2027,BS (J) ECO & FIN,,,CBM
,Business Research Project (Finance),Eight,Spring 2027,BS (J) ECO & FIN,,,CBM
SSC101,Introduction to Psychology,One,Fall 2023,BS (J) ACC & FIN,,,CBM
REL101,Islamic Studies,One,Fall 2023,BS (J) ACC & FIN,,,CBM
MTH102,Business Mathematics,One,Fall 2023,BS (J) ACC & FIN,,,CBM
SSC401,Business Ethics,One,Fall 2023,BS (J) ACC & FIN,,,CBM
COM107,Academic English,One,Fall 2023,BS (J) ACC & FIN,,,CBM
ECO101,Principles of Micro Economics,One,Fall 2023,BS (J) ACC & FIN,,,CBM
SSC301,History of Ideas,Two,Spring 2024,BS (J) ACC & FIN,,,CBM
LAN 10*,Foreign Language I,Two,Spring 2024,BS (J) ACC & FIN,,,CBM
STA203,Probability Theory & Statistics,Two,Spring 2024,BS (J) ACC & FIN,,,CBM
LAW409,Corporate & Business Law,Two,Spring 2024,BS (J) ACC & FIN,,,CBM
COM205,Persuasive & Analytical Writing for Business Communication,Two,Spring 2024,BS (J) ACC & FIN,COM107,,CBM
ACC101,Introduction to Financial Accounting,Two,Spring 2024,BS (J) ACC & FIN,,,CBM
ECO102,Principles of Macro Economics,Three,Fall 2024,BS (J) ACC & FIN,,,CBM
MIS402,Computer Concepts and Application,Three,Fall 2024,BS (J) ACC & FIN,,,CBM
LAN 20**,Foreign Language II,Three,Fall 2024,BS (J) ACC & FIN,,,CBM
PSC301,Pakistan Studies,Three,Fall 2024,BS (J) ACC & FIN,,,CBM
COM202,Business & Professional Speech,Three,Fall 2024,BS (J) ACC & FIN,COM205,,CBM
ACC201,Intermediate Financial Accounting,Three,Fall 2024,BS (J) ACC & FIN,ACC101,,CBM
MAN306,Introduction to Management & Organizational Behavior,Four,Spring 2025,BS (J) ACC & FIN,,,CBM
,Cost and Management Accounting,Four,Spring 2025,BS (J) ACC & FIN,,,CBM
ACC503,Taxation,Four,Spring 2025,BS (J) ACC & FIN,ACC201,,CBM
ACC530,Financial Regulation and Reporting,Four,Spring 2025,BS (J) ACC & FIN,,,CBM
,Model & Inferences,Four,Spring 2025,BS (J) ACC & FIN,,,CBM
FIN201,Introduction to Business Finance,Four,Spring 2025,BS (J) ACC & FIN,ACC201,,CBM
MKT201,Marketing Management (Level 1),Five,Fall 2025,BS (J) ACC & FIN,,,CBM
FIN301,Financial Institutions,Five,Fall 2025,BS (J) ACC & FIN,ACC201 & FIN201,,CBM
,Accounting Elective I,Five,Fall 2025,BS (J) ACC & FIN,,,CBM
,Accounting Elective II,Five,Fall 2025,BS (J) ACC & FIN,,,CBM
,Accounting Elective III,Five,Fall 2025,BS (J) ACC & FIN,,,CBM
FIN202,Financial Management,Five,Fall 2025,BS (J) ACC & FIN,FIN201,,CBM
MAN309,Leadership Journey,Six,Spring 2026,BS (J) ACC & FIN,,,CBM
,Accounting Elective IV,Six,Spring 2026,BS (J) ACC & FIN,,,CBM
,Accounting Elective V,Six,Spring 2026,BS (J) ACC & FIN,,,CBM
,Accounting Elective VI,Six,Spring 2026,BS (J) ACC & FIN,,,CBM
ISF101,Introduction to Islamic Banking and Finance,Six,Spring 2026,BS (J) ACC & FIN,,,CBM
FIN503,Corporate Finance,Six,Spring 2026,BS (J) ACC & FIN,FIN202,,CBM
ECO402,Pakistan Economic Policy,Seven,Fall 2026,BS (J) ACC & FIN,FIN301 & ECO102,,CBM
FIN613,Financial Modeling for Decision Making,Seven,Fall 2026,BS (J) ACC & FIN,FIN202,,CBM
FIN***,Finance Elective I,Seven,Fall 2026,BS (J) ACC & FIN,,,CBM
ISF201,Islamic Financial Accounting,Seven,Fall 2026,BS (J) ACC & FIN,ISF101,,CBM
,Business Research Project (Accounting),Seven,Fall 2026,BS (J) ACC & FIN,,,CBM
,Finance Elective II,Seven,Fall 2026,BS (J) ACC & FIN,,,CBM
,Finance Elective III,Eight,Spring 2027,BS (J) ACC & FIN,,,CBM
,Finance Elective IV,Eight,Spring 2027,BS (J) ACC & FIN,,,CBM
,Finance Elective V,Eight,Spring 2027,BS (J) ACC & FIN,,,CBM
,Finance Elective VI,Eight,Spring 2027,BS (J) ACC & FIN,,,CBM
MAN405,Strategic Management,Eight,Spring 2027,BS (J) ACC & FIN,,,CBM
ACC531,Business Research Project (Finance),Eight,Spring 2027,BS (J) ACC & FIN,,,CBM
COM107,Academic English,One,Fall 2023,BS (ENT),,,CBM
MTH102,Business Mathematics,One,Fall 2023,BS (ENT),,,CBM
REL101,Islamic Studies,One,Fall 2023,BS (ENT),,,CBM
ECO101,Principles of Microeconomics,One,Fall 2023,BS (ENT),,,CBM
SSC301,History of Ideas,One,Fall 2023,BS (ENT),,,CBM
ENP116,Introduction to Entrepreneurship,One,Fall 2023,BS (ENT),,,CBM
COM205,Persuasive & Analytical Writing for Business Communication,Two,Spring 2024,BS (ENT),COM107,,CBM
STA104,Quantitative Techniques in Business,Two,Spring 2024,BS (ENT),,,CBM
MAN101,Principles of Management,Two,Spring 2024,BS (ENT),,,CBM
PSC301,Pakistan Studies,Two,Spring 2024,BS (ENT),,,CBM
ECO102,Principles of Macroeconomics,Two,Spring 2024,BS (ENT),,,CBM
ENP113,Effectuation Methods and Attributes Analysis,Two,Spring 2024,BS (ENT),,,CBM
COM202,Business and Professional Speech,Three,Fall 2024,BS (ENT),,,CBM
HRM301,Human Resource Management,Three,Fall 2024,BS (ENT),,,CBM
SSC101,Introduction to Psychology,Three,Fall 2024,BS (ENT),,,CBM
LAN 10*,Foreign Language I,Three,Fall 2024,BS (ENT),,,CBM
ACC206,Fundamentals of Accounting,Three,Fall 2024,BS (ENT),,,CBM
ENP114,Startup Garage I: Business Model Generation,Three,Fall 2024,BS (ENT),,,CBM
LAN 20**,Foreign Language II,Four,Spring 2025,BS (ENT),,,CBM
FIN201,Fundamentals of Finance,Four,Spring 2025,BS (ENT),,,CBM
MKT201,Marketing Management (Level 1),Four,Spring 2025,BS (ENT),,,CBM
ENP103,"System, Disruptive and Exponential Thinking",Four,Spring 2025,BS (ENT),,,CBM
,Introduction to Sociology,Four,Spring 2025,BS (ENT),,,CBM
ENP112,Startup Garage II: Affordable Startup Design,Four,Spring 2025,BS (ENT),,,CBM
SEL415,Social Advocacy and Change,Five,Fall 2025,BS (ENT),,,CBM
ENP305,Process Optimization,Five,Fall 2025,BS (ENT),,,CBM
MAN405,Strategic Management,Five,Fall 2025,BS (ENT),,,CBM
,Elective I,Five,Fall 2025,BS (ENT),,,CBM
,Elective II,Five,Fall 2025,BS (ENT),,,CBM
ENP206,Startup Garage III: Business Idea Prototyping,Five,Fall 2025,BS (ENT),,,CBM
SSC401,Business Ethics,Six,Spring 2026,BS (ENT),,,CBM
SCM501,Supply Chain Management,Six,Spring 2026,BS (ENT),,,CBM
,Elective III,Six,Spring 2026,BS (ENT),,,CBM
,Elective IV,Six,Spring 2026,BS (ENT),,,CBM
,Elective V,Six,Spring 2026,BS (ENT),,,CBM
ENP212,Lean Launchpad I: Startup Launch,Six,Spring 2026,BS (ENT),,,CBM
,Elective VI,Seven,Fall 2026,BS (ENT),,,CBM
,Elective VII,Seven,Fall 2026,BS (ENT),,,CBM
,Elective VIII,Seven,Fall 2026,BS (ENT),,,CBM
,Legal Structures of Startups,Seven,Fall 2026,BS (ENT),,,CBM
,Business Research Methods,Seven,Fall 2026,BS (ENT),,,CBM
ENP306,Lean Launch Pad II: Startup Risk Mitigation,Seven,Fall 2026,BS (ENT),,,CBM
,Elective IX,Eight,Spring 2027,BS (ENT),,,CBM
,Elective X,Eight,Spring 2027,BS (ENT),,,CBM
,Elective XI,Eight,Spring 2027,BS (ENT),,,CBM
,Elective XII,Eight,Spring 2027,BS (ENT),,,CBM
SEL413,Visual Storytelling,Eight,Spring 2027,BS (ENT),,,CBM
,Capstone: Startup Acceleration & Co-creation,Eight,Spring 2027,BS (ENT),,,CBM
COM107,Academic English,One,Fall 2023,BS (IND MNGT),,,CBM
SSC101,Introduction to Psychology,One,Fall 2023,BS (IND MNGT),,,CBM
REL101,Islamic Studies,One,Fall 2023,BS (IND MNGT),,,CBM
,Production Processes,One,Fall 2023,BS (IND MNGT),,,CBM
INM105,Introduction to Industrial Management,One,Fall 2023,BS (IND MNGT),,,CBM
INM104,Fundamentals of Quality,One,Fall 2023,BS (IND MNGT),,,CBM
SSC301,History of Ideas,Two,Spring 2024,BS (IND MNGT),,,CBM
MTH103,Calculus for Business Decisions,Two,Spring 2024,BS (IND MNGT),,,CBM
COM205,Persuasive & Analytical Writing for Business Communication,Two,Spring 2024,BS (IND MNGT),COM107,,CBM
LAN 10*,Foreign Language I,Two,Spring 2024,BS (IND MNGT),,,CBM
,Foundations of Industrial Design Thinking,Two,Spring 2024,BS (IND MNGT),,,CBM
INM306,Social and Ethical Aspects in Industrialization,Two,Spring 2024,BS (IND MNGT),,,CBM
PSC301,Pakistan Studies,Three,Fall 2024,BS (IND MNGT),,,CBM
STA204,Industrial Applications of Statistics,Three,Fall 2024,BS (IND MNGT),,,CBM
LAN 20**,Foreign Language II,Three,Fall 2024,BS (IND MNGT),,,CBM
COM202,Business & Professional Speech,Three,Fall 2024,BS (IND MNGT),COM205,,CBM
INM201,Methods Analysis and Time Study,Three,Fall 2024,BS (IND MNGT),,,CBM
INM103,Industrial Economics,Three,Fall 2024,BS (IND MNGT),,,CBM
MAN306,Principles of Management and OB,Four,Spring 2025,BS (IND MNGT),,,CBM
SSC202,Environmental Studies,Four,Spring 2025,BS (IND MNGT),,,CBM
SSC401,Business Ethics,Four,Spring 2025,BS (IND MNGT),,,CBM
INM203,Introduction to Production & Operation Management,Four,Spring 2025,BS (IND MNGT),,,CBM
INM204,Ergonomics,Four,Spring 2025,BS (IND MNGT),,,CBM
INM102,Industrial Safety & Health,Four,Spring 2025,BS (IND MNGT),,,CBM
MKT201,Marketing Management (Level 1),Five,Fall 2025,BS (IND MNGT),,,CBM
FIN310,Fundamentals of Finance,Five,Fall 2025,BS (IND MNGT),,,CBM
MIS104,Computer Programming & Graphics,Five,Fall 2025,BS (IND MNGT),,,CBM
MAN309,Leadership Journey,Five,Fall 2025,BS (IND MNGT),,,CBM
INM202,Energy Management,Five,Fall 2025,BS (IND MNGT),,,CBM
INM 301,Introduction to Facility Planning and Layout,Five,Fall 2025,BS (IND MNGT),,,CBM
MAN405,Strategic Management,Six,Spring 2026,BS (IND MNGT),,,CBM
INM 308,Industrial Transformation and Technical Changes,Six,Spring 2026,BS (IND MNGT),,,CBM
INM 305,Inventory Management and Lean Six Sigma,Six,Spring 2026,BS (IND MNGT),,,CBM
ACC101,Fundamentals of accounting,Six,Spring 2026,BS (IND MNGT),,,CBM
INM304,Introduction to Project Management,Six,Spring 2026,BS (IND MNGT),,,CBM
INM 303,Introduction to Planning and Scheduling,Six,Spring 2026,BS (IND MNGT),,,CBM
INM 307,Business Forecasting & Risk Analysis,Seven,Fall 2026,BS (IND MNGT),,,CBM
INM 401,Industrial Supply Chain Management,Seven,Fall 2026,BS (IND MNGT),,,CBM
INM501,Project I,Seven,Fall 2026,BS (IND MNGT),,,CBM
,Elective I,Seven,Fall 2026,BS (IND MNGT),,,CBM
,Elective II,Seven,Fall 2026,BS (IND MNGT),,,CBM
,Elective III,Seven,Fall 2026,BS (IND MNGT),,,CBM
INM 402,Industrial Quality Practices and Management,Eight,Spring 2027,BS (IND MNGT),,,CBM
INM 404,Managing Research and Innovation,Eight,Spring 2027,BS (IND MNGT),,,CBM
INM502,Project II,Eight,Spring 2027,BS (IND MNGT),,,CBM
,Elective IV,Eight,Spring 2027,BS (IND MNGT),,,CBM
,Elective V,Eight,Spring 2027,BS (IND MNGT),,,CBM
,Elective VI,Eight,Spring 2027,BS (IND MNGT),,,CBM
SSC101,Introduction to Psychology,One,Fall 2023,BS(J) LOG & SC,,,CBM
REL101,Islamic Studies,One,Fall 2023,BS(J) LOG & SC,,,CBM
MTH102,Business Mathematics,One,Fall 2023,BS(J) LOG & SC,,,CBM
SSC401,Business Ethics,One,Fall 2023,BS(J) LOG & SC,,,CBM
COM107,Academic English,One,Fall 2023,BS(J) LOG & SC,,,CBM
ECO409,Business Economics,One,Fall 2023,BS(J) LOG & SC,,,CBM
SSC301,History of Ideas,Two,Spring 2024,BS(J) LOG & SC,,,CBM
LAN 10*,Foreign Language I,Two,Spring 2024,BS(J) LOG & SC,,,CBM
STA203,Probability Theory & Statistics,Two,Spring 2024,BS(J) LOG & SC,,,CBM
LAW409,Corporate & Business Law,Two,Spring 2024,BS(J) LOG & SC,,,CBM
COM205,Persuasive & Analytical Writing for,Two,Spring 2024,BS(J) LOG & SC,,,CBM
COM402,Business Communication,Two,Spring 2024,BS(J) LOG & SC,,,CBM
SCM101,Essentials of Supply Chain Management,Two,Spring 2024,BS(J) LOG & SC,,,CBM
ACC101,Fundamentals of Accounting,Three,Fall 2024,BS(J) LOG & SC,,,CBM
MIS402,Computer Concepts and Application,Three,Fall 2024,BS(J) LOG & SC,,,CBM
