Total Roms Numbers
CBM101
CBM103
CBM107
CBM108
CBM109
CBM113
CBM114
CBM115
CBM116
CBM117
CBM118
CBM205
CBM207
CBM211
CBM213
CBM217
CBM219
CBM307
CBM308
CBM309
CBM313
CBM315
CBM319
CBM321
CBM407
CBM408
CBM409
CBM410
CBM413
CBM415
CBM416
CBM418
CBM419
CBM421
IT LAB # 1
IT LAB # 2
IT LAB # 3
IT LAB # 4
IT LAB # 6
IT LAB # 7
ITROOM  301
ITROOM  302
ITROOM  303
ITROOM  401
ITROOM  402
ITROOM  403
SSKBLDC401
SSKBLDC402
SSKBLDC403
SSKBLDC404
SSKBLDC405
SSKBLDC406
SSKBLDC501
SSKBLDC502
SSKBLDC503
SSKBLDC504
I.MGMT # 202
I.MGMT # 203
I.MGMTLAB # 302
I.MGMTLAB # 303
LIB405
LIB406
LIB407
LIB408
LIB409
CREKCLG101
CREKCLG102
CREKCLG103
CREKCLG105
CREKCLG106
CREKCLG107
CREKCLG108
CREKCLG301
CREKCLG302
CREKCLG303
CREKCLG304
CREKCLG306
CREKCLG307
CREKCLG308
CREKCLG401
CREKCLG402
CREKCLG404
CREKCLG405
CREKCLG406
CREKCLG407
CREKCLG408
CREKCLG501
CREKCLG502
CREKCLG503
CREKCLG504
CREKCLG505
CREKCLG506
CHS401
CHS402
CHS403
CHS404
CHS405
CHS406
